Date_of_Visit,District,Chiefdom,Section,Name_of_community,f_q1,f_q2,f_q3,f_q4,f_q5,f_q6
2015-06-04,Bo,Valunia,Delenga,Sengria,1,The burial team handle the dead with care,NA,Implementation of bye laws,NA,NA
2015-06-04,Bo,Valunia,Delenga,Njojahun,1,The burial team now allow them bereaved family to dress the dead,NA,They donâ€™t allow strangers in the community,NA,NA
2015-06-05,Bo,Valunia,Delenga,Konwana,1,The burial team now allow the family members to pray,NA,The bye laws are very much effective,NA,NA
2015-06-05,Bo,Valunia,Delenga,Semehun,1,The burial team now handle the dead with care,NA,Implementation of bye laws,NA,NA
2015-06-18,Bo,Baoma,Bambawo,Plima 2,1,The burial team takes good care of dead bodies,NA,"Frequent hand washing, house to house sensitization",NA,NA
2015-06-18,Bo,Baoma,Bambawo,Matawa,1,The burial team takes good care of dead bodies,NA,"Frequent hand washing, every one is aware of the sick",NA,NA
2015-06-19,Bo,Baoma,Bambawo,Unbacona,NA,NA,NA,NA,NA,NA
2015-06-19,Bo,Baoma,Bambawo,Forgarya,NA,NA,NA,NA,NA,NA
2015-05-29,Bo,Baoma,Bambawo,Nyema,1,The check the chain of transmisssion,NA,Regular hand washing and no eating of bush meat,NA,NA
2015-05-29,Bo,Baoma,Bambawo,Tobanda,1,Family members are not allowed to witness the burial process,NA,Regular hand washing and no one is allow to keep strangers,NA,NA
2015-05-29,Bo,Baoma,Fally,Pelewahun,NA,NA,NA,Every one in the community have been aware about ebola,NA,NA
2015-05-29,Bo,Baoma,Fally,Toigiama,NA,NA,NA,The information have been share to us by Restless we are free from Ebola,NA,NA
2015-05-27,Bo,Baoma,Nyeima,Gendema,1,The burail team give respect to the dead,NA,No restriction of movement again,NA,NA
2015-05-27,Bo,Baoma,Nyeima,Niama,1,If the dead is not cause by ebola they will give order to wash the body,NA,By the direction of Restless mobilisers we have now been able to interact and share ideas or things,NA,NA
2015-05-28,Bo,Baoma,Nyeima,Foindu,1,They did not allow the family members to perform their customs and traditions,NA,We the community have regular house to house visit to prove if someone is sick or dead,NA,NA
2015-05-28,Bo,Baoma,Nyeima,Ngelahun,1,The burial team quickly arrive after the call from 117,NA,NA,NA,NA
2015-05-29,Bo,Baoma,Bambawo,Baoma Station,1,The burial team allow  family members to visit the cemetry,NA,"Environmental cleaning,frequent hand washing",NA,NA
2015-05-29,Bo,Baoma,Bambawo,Gbahdin,1,They also allow family members to pray,NA,Frequent hand washing,NA,NA
2015-05-27,Bo,Baoma,Kemeya,Kenewovo,1,NA,NA,NA,NA,NA
2015-05-27,Bo,Baoma,Kemeya,Nyalahun,1,They are very happy for the way they bury now,NA,Even though they are busy doing their farm activities but still they have their bye laws at the back of their minds,NA,NA
2015-05-28,Bo,Baoma,Kemeya,Kpumbu,1,The are now allow to join the burial team to conduct the burial process,NA,No death yet,NA,NA
2015-05-28,Bo,Baoma,Kemeya,Kortumahun,NA,NA,NA,NA,NA,NA
2015-05-27,Bo,Lugbu,Kemoh,Mokondor,NA,NA,NA,Movement from one place to another is going on well,NA,NA
2015-05-27,Bo,Lugbu,Kemoh,Morgbongo,NA,NA,NA,NA,NA,NA
2015-05-28,Bo,Lugbu,Kemoh,Jundu,NA,NA,NA,NA,NA,NA
2015-05-28,Bo,Lugbu,Kemoh,Mosorgbor,NA,NA,NA,NA,NA,NA
2015-05-27,Bo,Lugbu,Kemoh,Manowo,1,It is line with the burial process,NA,NA,NA,NA
2015-05-27,Bo,Lugbu,Kemoh,Benduma 1,NA,NA,NA,They visit their health centre without fear,NA,NA
2015-05-28,Bo,Lugbu,Kemoh,Benduma 2,NA,NA,NA,The awareness of Ebola,NA,NA
2015-05-28,Bo,Lugbu,Kemoh,Nyahun,NA,NA,NA,Calling ambulance for seriously sick cases,NA,NA
2015-05-28,Bo,Lugbu,Kemoh,Lurgi,1,They are satisfied with the burial,NA,Frequent hand washing with soap and water,NA,NA
2015-05-28,Bo,Lugbu,Kemoh,Ngobordi,1,They are satisfied with the burial,NA,Frequent hand washing with soap and water,NA,NA
2015-05-27,Bo,Lugbu,Upper Sama,Kpotobu,1,The burial team now respect and care for the dead,NA,Awareness,NA,NA
2015-05-27,Bo,Lugbu,Upper Sama,Bonitowo 1,1,They also allow family members to pray,NA,Implementing of bye laws,NA,NA
2015-05-01,Bo,Lugbu,Upper Sama,Bonitowo 2,0,NA,There is no traditional practise done by the burial team,Implementing of bye laws,NA,NA
2015-05-28,Bo,Lugbu,Upper Sama,Vaahu,1,The burial team allow family members to follo them to the cemetry,NA,Awareness and Implementing of bye laws,NA,NA
2015-04-27,Bo,Wonde,Central,Tenblleh,1,They are satisfied with them because they show respect to the dead body,NA,No change,NA,NA
2015-04-27,Bo,Wonde,Central,Senbehun,1,They  are satisfy with the burial team,NA,No change,NA,NA
2015-04-28,Bo,Wonde,Central,Mojenai,1,They are satisfy with the burial team because they show respect to the families,NA,No change,NA,NA
2015-04-28,Bo,Wonde,Central,Mosagbohui,1,They are satisfy with them,NA,No change,NA,NA
2015-05-27,Bo,Wonde,Lower Kaigoi,Yanihun,1,It is the best way to prevent Ebola,NA,NA,NA,NA
2015-05-27,Bo,Wonde,Lower Kaigoi,Goiwola,1,They were satisfied,NA,NA,NA,NA
2015-05-28,Bo,Wonde,Lower Kaigoi,Bathurst,NA,NA,NA,NA,NA,NA
2015-05-28,Bo,Wonde,Lower Kaigoi,Kpayawa,NA,NA,NA,NA,NA,NA
2015-05-29,Bo,Lugbu,Upper Sama,Upper Sama 1,1,They are satisfied,NA,NA,NA,NA
2015-05-29,Bo,Lugbu,Upper Sama,Upper Sama 2,1,They are satisfied,NA,NA,NA,NA
2015-05-29,Bo,Baoma,Kemaya,Nyalahun,1,They take good care of the body,NA,NA,NA,NA
2015-05-29,Bo,Baoma,Kemaya,Buane,NA,NA,NA,NA,NA,NA
2015-05-29,Bo,Lugbu,Kargbou,Nyagia,NA,NA,NA,NA,NA,NA
2015-05-29,Bo,Lugbu,Kargbou,Tawamanhahun,NA,NA,NA,NA,NA,NA
2015-05-27,Bo,Baoma,Nyeima,Gendema,1,They now give respect and allow us to pray,NA,Awareness,NA,NA
2015-05-27,Bo,Baoma,Nyeima,Niama,1,If the dead is not cause by ebola they will give order to wash the body,NA,Free movements,NA,NA
2015-05-28,Bo,Baoma,Nyeima,Foindu,0,NA,they did not allow the family members to perform there customs and traditions,Awareness,NA,NA
2015-05-28,Bo,Baoma,Nyeima,Ngelahun,1,The burial team quickly arrive after the call from 117,NA,Regular house to house visit,NA,NA
2015-06-27,Bo,Baoma,Bambawo,Ndlima,1,They did not burybefore no and allow us to prayw they give report,NA,We are now happy that since the information have been shown to us by Restless ,NA,NA
2015-06-27,Bo,Baoma,Bambawo,Nyalauhun,1,If the dead is not cause by ebola they will give order to wash the body,NA,We marry at the beginning of Ebola but thank God we have free movement and care for eah other,NA,NA
2015-06-28,Bo,Baoma,Bambawo,Umbacona,1,They did not allow the family members to perform their customs and traditions,NA,By the direction of Restless mobilisers we have now been able to interact and share ideas or things,NA,NA
2015-06-28,Bo,Baoma,Bambawo,Baoma Old Town,1,The burial team quickly arrived after the calling 117,NA,We in the community have regular house to house visit to prove if someone is sick or dead,NA,NA
2015-08-19,Bo,Valunia,Kendebo,Kossima/Kpatema,1,"They bury with respect,it is necessary because it is safe",NA,"No community burial and visit the health centre,call 117",NA,NA
2015-08-20,Bo,Valunia,Kendebo,Tommya/Gongombu,1,"The burial team normally protect them selves,they said no problem about it",NA,"Avoid strangers and no community burial,call 117 for death case",NA,NA
2015-08-21,Bo,Valunia,Kendebo,Nelebu/Pujehun,1,"They bury with respect,no death occur in the community",NA,"Call 117 for any death case,no public gathering, avoid strangers and testing the temperature",NA,NA
2015-08-19,Bo,Valunia,Lunia,Hewebu/Gumahun,0,NA,They are not satisfy because they do not pay  respect to their love ones,"Community burial,reporting sick person to the health centre and isolate sick person, calling of burial team",NA,NA
2015-08-20,Bo,Valunia,Lunia,Nyandahun/Kpanaembu,1,"Burial team as long as that will stop Ebola in Sierra Leone,safe procedures.",NA,"Isolating sick people,community burial and reporting of sick person and caling of burial team",NA,NA
2015-08-21,Bo,Valunia,Lunia,Banjiama/Pelewahun 1,0,NA,They do not like the burial team because of the body bag,"Isolate sick person,report sick person and calling of burial team",NA,NA
2015-08-19,Bo,Valunia,Sei,Jopowahun/Kpetema,1,"Disinfecting the remain of the disease,every process of the burial activity is transparent",NA,Implementing of bye laws and absolute cleaniness and tideness in the community,NA,NA
2015-08-20,Bo,Valunia,Sei,Njalihun Old Town/Talia,1,"Involving members of the community in burial process,One family member is allow to observe how the burial team conducts burial",NA,"Anyone who is caught hidding sick person will be fine,implementing of bye laws and action plan",NA,NA
2015-08-21,Bo,Valunia,Sei,Tokpumbu/Baja,1,"Religious rite of the decease is been observed,membes of the community are allow to pray",NA,"Proper screening of strangers before allowing them to stay in their community,positive implementation of all the bye laws and action points",NA,NA
2015-08-19,Bo,Valunia,Delenga,Sengima/Njojahun,NA,NA,NA,"They are now reporting sick to the health centre,cleaning their environment every Friday",NA,NA
2015-08-20,Bo,Valunia,Delenga,Korwama/Hindogboma,NA,NA,NA,"The youth now protect their community from strangers not to enter,Awareness",NA,NA
2015-08-21,Bo,Valunia,Delenga,Victoria/Karvorma,NA,NA,NA,The burial team are now performing their buties/they now wash their hands,NA,NA
2015-08-19,Bo,Valunia,Lunya,Pelewahun/Hewabu,1,"They allow family members to pray on the body before taking it,protecting us not to catch the virus",NA,Impementation of bye laws,NA,NA
2015-08-20,Bo,Valunia,Lunya,Gomahun/Bamvema,1,"Protecting us not to catch the virus,medical people donâ€™t want to get more cases again.",NA,"They are still implementing the bye laws,Though the band is lifted when they are still implementing the bye laws",NA,NA
2015-08-21,Bo,Valunia,Lunya,Kpakiba/Yambama,1,"The burial team allow us to pray on the dead body before they take it,we cannot get this virus in our community",NA,Implementation of bye laws,NA,NA
2015-08-20,Bo,Baoma,Bambawo,Kollu/Palima,1,"The burial team normally arrive on time and allow the family to do all the necessary things in line with ebola,the burial team allows few members in the family to go and witness the urial at the cemetry",NA,"Everybody have now aware that ebola is real,they cannot do burial for them selvess they can easiy contact the burial team",NA,NA
2015-08-21,Bo,Baoma,Bambawo,Gondama/Loamie,1,"The burial team ask for any religious leader to offer a prayer on the deadbody before burial, coffin prayer and dress for the dead body are allow by the burial team",NA,"If somebody in the community die they can easily connect the alert line,in the community anybody who feels sick in the community should go to the nearest medical health center",NA,NA
2015-08-22,Bo,Baoma,Bambawo,Kolon/Ngayawamie,1,"The burial team normally arrives on time and allow family to do all the necessary things inline with Ebola, the burial team allow few members to witness the burial at the cemetary",NA,"In the community they cannot wash dead body, they can easily close the place until the team arrives,in the community a lot of good  of god numbers of pregnancy women and under 5 children go to the nearest health center for treatment",NA,NA
2015-08-18,Bo,Baoma,Upper Pa Tawo,Jakaji 1/Komenda,1,"The high risk of getting Ebola is by burial so we are happy with the burial team,the way now the burial team conduct the burial we are happy",NA,"The government have put things in place but they pray that Ebola we come to an end,the community people are doing their normal things and also they are working with all the bye laws in the community",NA,NA
2015-08-19,Bo,Baoma,Upper Pa Tawo,Hagbahun/Jakaji 2,1,"When ever we call the burial team they did not response to their calls,to stop the spread of Ebola in our country",NA,"The community people are working with all the bye laws in the community,the community people are happy that they have open the luma and they are doing their business in the community",NA,NA
2015-08-20,Bo,Baoma,Upper Pa Tawo,Matema/Kpatema,1,"To stop the spread of Ebola in our country so we are happy for the burial team,the burial team play a great role in the Ebola fight so we are happy",NA,The community people are doing their normal work but they are still working with all the bye laws and they pray that Eboa will come to an end,NA,NA
2015-08-19,Bo,Baoma,Sonnah,Kpatobu/Sandia,NA,NA,NA,"There is no serious sick person reported in the community,there is no reported case of Ebola in the community",NA,NA
2015-08-20,Bo,Baoma,Sonnah,Tugbebu/Forbu,NA,NA,NA,"There has been no reported case of Ebola in the community,",NA,NA
2015-08-21,Bo,Baoma,Sonnah,Faikondor/Semibu,NA,NA,NA,"The community looks clean and desent,there has been no reported case of Ebola",NA,NA
2015-09-10,Bo,Komboga,Tongawa,Semabu2/Foya,1,It help us not to catuc the virus and prevent our community from Ebola,NA,Proper sanitation and hygine promotion and the people are visiting the health facility for tomporature test,When are we going about doing our own burial as community members,NA
2015-09-11,Bo,Komboga,Tongawa,Bawuya/Lowuma,1,It help us not to catuc the virus and prevent our community from Ebola,NA,The people  have now abides by the bye-laws and refering sick people to the health facility,NA,NA
2015-09-12,Bo,Komboga,Tongawa,Teibor/Njiakohun,1,Free our community from Ebola,NA,Calling 117 to report death or seroiusly sick people and frequant visite to the health center,NA,NA
2015-08-14,Bo,Bafbo,Tissana,Fala/Tissana,1,The burial team sympathised with the family and they were allowed to the country,NA,There is still awerness even though some of the bye-laws are not implemented and I was welcome and allowed to converse with the community people,NA,NA
2015-08-15,Bo,Bafbo,Tissana,T/Junction/Mikebag,1,They were allowed to pray on the crops and give reasons for burial conduction,NA,The road network is very poor and the most chaldenge now is the rain,NA,NA
2015-08-16,Bo,Bafbo,Tissana,Kottublana/Tusu,1,It was safe and dignified and they were politely and addressed,NA,Even though there has been more complecency some of these bye-laws were still enforced and there is a poor road network,NA,NA
2015-08-13,Bo,Bargba,Kpangballa,Mowonde/Banduima,1,They take well to the family and even asked them if they want to pray on body and no burial since the outbrake started,NA,They still have in mind that ebola is still in our country since other districts are getting cases and this community have never get or registered any cases since the out break started,Banduim and Farbana:This two communities does not have any phone to communicate incase of any problem and are the calling on hunmanitrian organisutions to help solve these problem ,NA
2015-08-14,Bo,Bargba,Kpangballa,Farbanah/Malee,NA,NA,NA,"There has been no death since the ebola out break started in our country and although their district have gone over two hundred days without no new cases,they are still en-forcing their check point to their community as a way to maintion the zero ebola in fection",Mongbain:The concarned raised by this community is that these is now shortage of foods which means some family to go 1 to 2 days without no food.Their only in come is gani processing but since these out break started customers are no longer coming in to their community because of the vorious bye-laws sat out by government.,NA
2015-08-15,Bo,Bargba,Kpangballa,Mogbain/Kponima,1,They allow the family to wintness the burial and no burial since the out break started,NA,"Stackholders are now coitinsating their members they need to continue some of these action plans as there are still cases in the country and most of the major bye-laws are still maintain(eg)report all sick people to the health practioner,no community burial,no hiding of sick peoplen etc",NA,NA
2015-09-10,Bo,Bagbwe,Jongo,Yangabu/Pelewahun,1,To avoid spreading the virus and for safe and dignified burial,NA,The youth are now enguged on cleaning the environment and obying the bye-laws for combating the ebola virus,When thebcommunity start to conduct their own burial?,NA
2015-09-11,Bo,Bagbwe,Jongo,Bijia/Kondiama1,1,To avoid spreading the virus and for safe and dignified burial,NA,Visting the health post for themselves for tempovatures test and obeying the bye-laws to stop the spread of the virus,NA,NA
2015-09-12,Bo,Bagbwe,Jongo,Kondiama2/Kpawula,1,For safe and dignified burial,NA,Visiting the health post frequantly and cleaning the environment keeping the bye-laws,NA,NA
2015-09-10,Bo,Komboga,Mangalu,Njawoh/Gbobu,1,It is for our own good safety ,NA,Cleaning the environment to avoid other sicknesses and cleaning the environment to avoid sicknesses,When will Ebola end in sierra leone?when will the community start to do their own burial,NA
2015-09-11,Bo,Komboga,Mangalu,Ngewabu/Yendehun,1,Not to catch the virus,NA,Rwfering of sick people and regular hand washing,NA,NA
2015-09-12,Bo,Komboga,Mangalu,Flawahun/Komboya,1,For safe and dignified burial,NA,Refering sick people to the health center and cleaning & proper taking care of the community,NA,NA
2015-08-25,Bo,Bagbwe,Nyawa,Foinda/Ballie,1,Because they help us right Ebola in our country and they now give our people bifiting burial,NA,All burial is conducted by burial team and always call when buried occure and Isolate all sick people,"Foinda:Is there any help for the doctor,s and nurses Questions:who dead in fighting agnest this Ebola",NA
2015-08-26,Bo,Bagbwe,Nyawa,Gbonjema/Kandu,1,They are qualify for the job and the country people donâ€™t want Ebola in this country again,NA,Screen people that enter the health center and pregent woman now visite the health center every day,Gbonjema/ Question:How many year are the Government going to support the survior and the affected people,NA
2015-08-27,Bo,Bagbwe,Nyawa,Njala Kendina/Bangebu,1,They are the hero of this country and allow us to pray on the dead person,NA,They always visite the health whenever some one is sick ,Njala kendema/Concern:We say bravor the all those who fight Ebola in this our beloved sierra leone,NA
2015-08-26,Bo,Bagbwe,Jongo,Gbaama/Sami,1,Because it was good the government form the burial team to prevent the disease spreading and with burial team we were able to control the sick easily,NA,Samc give the community to strictly re-enforce the bye-laws in order to prevent the ebola virus and God bless smac for given them the ideas and power the fight agnest ebola with success,They have being seeing the paramount chiefs and their speakers section chifs and their speaker were given some amount of hince five in the fight agnest ebola?but since then no town chife or speaker were not given any thing like that but they were serverely fighting the virus what is going to be their own reward at the end of the day.,NA
2015-08-27,Bo,Bagbwe,Jongo,Buma/Faabu,1,Without the burial team the whole nation would have end up to die and because they some times delay up to three to four days befor they mach the dead for burial,NA,With the hitervention of smac the mobilizers grealty help the town chifs to be able to control the bye-laws effectively and the community creat new bye laws of not accepting any type of sick guest ,NA,NA
2015-08-28,Bo,Bagbwe,Jango,Mokpende/Venima,1,The burial team is the equift group to bury dead body because of Ebola and for ebola no one have seft frotection to bury dead body,NA,"Still the community awere that,the ebola virus is a killer disease and they are still re-enforce the bye-laws and the community have stand firm that they must drive always ebola under all cost without fail",NA,NA
2015-08-26,Bo,Badjia,Sei,Saahun/Giima,1,That is Ebola method of buring people so we have no objection and the body was buried according to our normal tradition with the accption of washing it,NA,The community is always kepted  clean and very quick in attending to meetings especialy health talk,We are happy that schools have re-open happy to hear that government have lift the band for public gathering more especialy our usual trad fevr,NA
2015-08-27,Bo,Badjia,Sei,Ngiyehun/Madina,1,Religious people were allow to pray before buring the body wsa dressed,NA,Community health club colaborated among themselves to help prevent their community from any other disease and the health club is involve in linking the community to the health post,We belive that ebola has come to an end what will be the next after ebola?,NA
2015-08-29,Bo,Badjia,Sei,Borkeneh/Korjehun,NA,NA,NA,The community champion and few other members have taken the lead to see that the environment is always kepted clean and these had been a reduction in disease,NA,NA
2015-08-25,Bo,Komboya,Mangalu,Kpamajama/Nangoba,1,The follow strick community proceolire/S.O.P in accordance to burial practices and no death-no burial conducted as per indicator so no is applicable,NA,The quick referal of pedple to seek medical attention:klurking strongly with government peding bye-laws on ebola -the resume of the normal activites of the people as usual-the acceptance of the burial team to condllct burial-the urgent of calls on the burial team,Why are still people buried in body bags-what will take a country for it to be ebola free-when will the chiefdom take over the burial team,NA
2015-08-26,Bo,Komboya,Mangalu,Lorgbana/Majiebu,NA,NA,NA,The quick referal of sick people to sick medical attention-working strong with government pending bye-laws on ebola and the resume of the normal activites of the people as usual -working strongly with Government pending bye-laws on Ebola,"When will the chiefdom take inter the burial team-can we expect ebola to be eradlcated this year-if there is a possible bound back,can we get to were we are as usual",NA
2015-08-26,Bo,Komboya,Mangalu,Keituma/Kpawuma,1,The follow strick community proceolire/S.O.P in accordance to burial practices and no death-no burial conducted as per indicator so no is applicable,NA,The quick referal of sick people .P sick medical attention-working strong with government pendnog bye-laws mm ebola and the resume of the normal activites of the people S usual -working strongly with Government pendnog bye-laws mm Ebola,Why are still people buried in body bags-what will take a country for it to be ebola free-when will the chiefdom take over the burial team,NA
2015-08-25,Bo,Kamboya,Tongawa,Plewahun2/Mono,1,The burial team talk to us nicely and we were allowed to pray on the body,NA,"It is very clean,because they have arrange to clean their community twice every month and the health committee is working very hard to controle the laws of Ebola and other sickness",NA,NA
2015-08-26,Bo,Kamboya,Tongawa,Kenyema/Talia,1,The body was properly dressed and the grave was well couered,NA,The community still maintain all the rules of Ebola and the health committee is working hand to mornitor every health sectors in the village,NA,NA
2015-08-27,Bo,Kamboya,Tongawa,Gumahun/Boyamahun,1,We were allowed to visit the burial site and the burial team followed normal burial stept,NA,This community no more fear health center they always take their sick people there and this community has clean their water well and make fance around it and stop all under age from getting,NA,NA
2015-08-25,Bo,Badjia,Njagbahun,Jellu-2/Yorvohun,0,NA,We donot like the body bag which burial team are using people and we are not satisfied with burial team,People are now going to the health center for treatment and people are now washing their hands with soap and water for them not to get Ebola,After Ebola what is the nsxt problem again-now are we allow to eat bush meat,NA
2015-08-26,Bo,Badjia,Njagbahun,Kpetema/Solima,0,NA,It is the best way for them not to get Ebola and we are not satisfied with burial team in our community,Since your last visit to now we have know the singe and cases of Ebola and people are now going to the health centeer to know their health status,When Ebola will end in sierra leone-wewant Ebola health talk to containue in schools even after Ebila end in our country,NA
2015-08-27,Bo,Badjia,Njagbahun,Galahun/Gbagima,0,NA,We are not happy with burial team in our country and we are not happy with body bag in this country,"Since your last visit,now people are asking questions relateded tto Ebola and people are now talking good care of their children and even their self for them not to get Ebola",We want Ebola free now in this country -in case some one dead beside Ebola will that person will burial with body bag.,NA
2015-08-25,Bo,Selenga,Mokpendeh,Damballa2/Tambama,1,Because it is the low of the Government and we want to live happy in the community,NA,They always take all sick people to the health center for them to be comefor and they are happy with the burial team always ,NA,NA
2015-08-26,Bo,Selenga,Mokpendeh,Momboima/Magbanda,1,Because we donâ€™t want to get sick we want Ebola free so that we can burial for our self in our village,NA,There are good number of sick people in the health and they are always happy to visite the health center,NA,NA
2015-08-27,Bo,Selenga,Mokpendeh,Njagaima/Jolu,1,We donâ€™t want Ebola any more and we want to be protected from all sickness,NA,They always call the burial team to help them and cleaning in the community all the time and biggest change since my last visit that the always go to the health center for help and they are sick,NA,NA
2015-08-13,Bo,Tikonko,Bainyawa,Njagbema/Grema Newsite,1,It was safe and dignified and they were politely and addressed,NA,There is poor road network and most of there bye-laws are still enforced,Community members must concerns was when will the government allow them to burry their beloved ones as they are Ebola free and remains to be erer,NA
2015-08-14,Bo,Tikonko,Bainyawa,Bendu Old Town/Godiama,1,They were symhatized before any action and were allowed to pray on the corpse,NA,"The community still awere that Ebola is rear and it has not yet comes to an end and through there is complecency in the community,but there is still that anwareness that Ebola is rear",The community members raised a concern about agriculturial inputs for their suppot after Ebola,NA
2015-08-15,Bo,Tikonko,Bainyawa,Kandor Newsite/Bendu Newstie,1,They were in scene for the burial their perceptions about burial team proved uncontion,NA,There is too much of rain and the road network is very poor and there is still awereness in the community about Ebola,Community members concern was about vunerables and the aged groups to be granted after Ebola,NA
2015-08-26,Bo,Niawa Lenga,Lower-Niawa,Mbelebu/Guandoma,NA,NA,NA,People now go for early treatment when they are sick the fear in the burial team has drustically reduced,NA,NA
2015-08-27,Bo,Niawa Lenga,Lower-Niawa,Torkpombu/Koliun,NA,NA,NA,A general cleaning is done at the end of every month a village task force has been formed,NA,NA
2015-08-28,Bo,Niawa Lenga,Lower-Niawa,Konima/Pendembu,0,NA,Because they are allow the body to the cemetery  and the burial team allow us to offer prayer on the body,People now go for early treatment when they are sick the fear in the burial team has drustically reduced,NA,NA
2015-08-26,Bo,Kakua,Nguabu,Gbanahun/Banda,1,Because we want the Ebola virus to be eradicate the reson is that we were buring our dead ones traditionally,NA,Scrapping and washing of their hands with soap contineous cleaning their environment,We want the Government to build for us school after Eabola,NA
2015-08-27,Bo,Kakua,Nguabu,Gibina/Levuma,1,Because no one is above the law we want to free from the Ebola virus,NA,"Cutting down of big trees that can be easily break,when heavy wind blow in their community and cleaning of drainages to avoid the spread of mosquitoes",To buid for us conrt barry after the Ebola virus,NA
2015-08-28,Bo,Kakua,Nguabu,Sumbuya/Korurama,1,Because we donâ€™t want to affcted Ebola virus is a bad virus,NA,The community people contineously canied their children to the health center for malaria checkup,"The community people gave bravo to the government that,they are happy for the counting of zeros(0)towards the forty two  (42)days",NA
2015-08-26,Bo,Tikonko,Sendeh,Tuba/Nyadeyama,1,"With the attitude of the burial team now to the dead body as compared to befor,the people were satisfied",NA,In tuba community the biggest change is concerning the stake holders before this time they were not supportive of the champions activities  but according to the champion they are not in support of her,The common consern of the people in Golahun were to get support from either the government or other .N.G.O.s to help the get seeds for planting as due to the outbrake of Ebola has cause them to eat all seed for planting due to the close of trade-fare.,NA
2015-08-27,Bo,Tikonko,Sendeh,Gelehun/Goahun,1,With the urgent respond of the burial team to call from the community the people were satified with them,NA,In this community is that the community people are now ready to visit the health center in this community is that the people have dicided to dig a pits in the community for people to be depositing gabages in it,NA,NA
2015-08-28,Bo,Tikonko,Sendeh,Suehun/Magbema,1,"Due to the respect given to the dead bodies,the community were now satisfied with the burial team as from community 2 day1,the people were satisified due to information from other communities",NA,The biggest change in this community is that the people although the declaine in the rate of the Ebola out brake in our country but the people are still willing to visit the health center,NA,NA
2015-08-25,Bo,Jowmo Spngar,Lower-Niawa,Kpulime/Kowama,1,"Community were now happy because the burial team allow them to the grave site and will now say,the burial team will allows community to pray on the dead body",NA,"Community were still conntinue sanitation by now community are moving from,one place to another and visiting their family",Community are always asking question about Ebola when the sickness will ends ,NA
2015-08-26,Bo,Jowmo Spngar,Lower-Niawa,Banda/Samie,1,Burial team also allow community to give ceremories to the dead burial team also allow community to givee sharting to the dead,NA,"Community are now making public gathering within the community,community are now making public gathering in the community",NA,NA
2015-08-26,Bo,Jowmo Spngar,Lower-Niawa,Koya/Kpetema,1,Burial team also allow community to cover grave and pray to the dead also allow community to give shorting to the dead body,NA,Community are now making ceremonies within their community still enviffersise with santitation are continue,NA,NA
2015-08-25,Bo,Niawa Lenga,Yalenga,Surma/Hele Town,1,The team beheave will to the community members conduct safe and dignified burial,NA,"Community awereness that not only Ebola is a killer diseases there are many order diseases that kill,the most  always vist the health center with out fair and must always be in parener with the health worker for good health and  safety","We want the government to train people at chiefdom level to tack part in the burial team,because we belive that government spending more monry to the burial team in the urbam than to trained in the rular",NA
2015-08-26,Bo,Niawa Lenga,Yalenga,Hendubu/Benduma,1,"Because the expectation of the team is high but the need to be time concious,traditional protical are observed",NA,The community link with the health center ever week with out fair acessibility of health center and the health works b the community members,NA,NA
2015-08-27,Bo,Niawa Lenga,Yalenga,Kortuhun Kpangbama,1,"The beray family were encewraged by the burial team,observe all protcal related to burial",NA,The cordia relationship with the health workers and the continous cleaning in the community week after week,NA,NA
2015-08-25,Bo,J/Bongor,Tonguwa,Gbaama1/Gbaama2,1,They ask us questions about the person who past away and we also pray on the body,NA,No body should hide person and transfer of sick person in the community to the health center,After Ebola we want to burrial for our self and we the women will want the Government to allow us to put our socity,NA
2015-08-26,Bo,J/Bongor,Tonguwa,Henbewahun/Lalewahun,1,And we also give them cloth for the person who dead and take one family member to enter the room with them,NA,"No body should without burial team,donâ€™t hide sick people",We want the Government to help us with the finicial for does who has past away and we want to know if the Government will pay for the land were they burried Ebola people,NA
2015-08-27,Bo,J/Bongor,Tonguwa,Yeima/Nagbana,1,And we also go with them at the cemerty after the cemetry they ask us to wash our hands,NA,"Some bye-laws are still in place,no body should burrial unless burial team",And what the Government has put in place for the survivor or do for those who lost there love ones,NA
2015-08-26,Bo,J/Bongor,Upper Nyawa,Gbima New Kiamba,1,"Because the burial team conducted the burials process as the way is was expected no death,since my last visit",NA,"In this community since my last visit is that,the people nolonger depend on government in the fight agnest Ebola,they have lead in their community",NA,NA
2015-08-27,Bo,J/Bongor,Upper Nyawa,Ngombu/Mamboima Old,NA,NA,NA,"In this community since my last visit is that,the people have realizer the importance of maintaining good health",NA,NA
2015-08-28,Bo,J/Bongor,Upper Nyawa,Mamboima New,1,"Because the burial team did most of the things the community people were expecing from them,the burial team were effective  in their ducty(dignified medical burials)",NA,Same as the above community(mambioma old town)they too has double their effort in this fight,NA,NA
2015-06-18,Bo,Jiama,Upper Kama,Tein,1,The burial teams are treating,NA,The people are visiting this health center for treatment,NA,NA
2015-06-18,Bo,Jiama,Upper Kama,Gbahun,1,They always arrived late,NA,They are now visiting this walth center for regular check up,Why donâ€™t we burial our lovers one?,NA
2015-06-19,Bo,Jiama,Upper Kama,Tailia,1,Because is more proventive,NA,The people are abide by the ebola bye-laws,How to stop the spead of ebola,NA
2015-06-19,Bo,Jiama,Upper Kama,Foya,1,They are conduct safe and diginifed burial,NA,The community people now call 117 for any suspected ebola cases,How to live ebola,NA
